"ITFAIYE_BIRIM_ADI";"ITFAIYE_LOKASYON";"ENLEM";"BOYLAM"
ESENYURT MÜFREZESİ;İTFAİYE BİNALARI-ESENYURT MÜFREZESİ;41.037221000000000;28.669638000000000
BEYKENT MÜFREZESİ;İTFAİYE BİNALARI-B.ÇEKMECE BEYKENT MÜFREZESİ;41.017599000000000;28.620824000000000
YAKUPLU MÜFREZESİ;İTFAİYE BİNALARI-BEYLİKDÜZÜ YAKUPLU MÜFREZESİ;40.995408000000000;28.669549000000000
EYÜP MÜFREZESİ;İTFAİYE BİNALARI-EYÜP MÜFREZESİ;41.048090000000000;28.919428000000000
DAVUTPAŞA MÜFREZESİ;İTFAİYE BİNALARI-ESENLER DAVUTPAŞA MÜFREZESİ;41.026263000000000;28.894618000000000
GÜNGÖREN İTFAİYE;İTFAİYE BİNALARI-GÜNGÖREN MERTER MÜFREZESİ;41.011511000000000;28.888672000000000
ESENLER TURGUT REİS MÜFREZESİ;İTFAİYE BİNALARI-ESENLER TURGUT REİS MÜFREZESİ;41.064459000000000;28.867161000000000
KEMERBURGAZ MÜFREZESİ;İTFAİYE BİNALARI-EYÜP KEMERBURGAZ MÜFREZESİ;41.048040000000000;28.919235000000000
SİLİVRİ ÇANTA MÜFREZESİ;İTFAİYE BİNALARI-SİLİVRİ ÇANTA MÜFREZESİ;41.085690000000000;28.079901000000000
SİLİVRİ GURUP AMİRLİĞİ;İTFAİYE BİNALARI-SİLİVRİ MÜFREZESİ;41.075659000000000;28.255469000000000
SİLİVRİ ÇAVUŞLU MÜFREZESİ;İTFAİYE BİNALARI-SİLİVRİ ÇAVUŞLU MÜFREZESİ;41.237392000000000;28.061325000000000
KUMBURGAZ MÜFREZESİ;İTFAİYE BİNALARI-B.ÇEKMECE KUMBURGAZ MÜFREZESİ;41.029820000000000;28.461299000000000
BİNKILIÇ MÜFREZESİ;İTFAİYE BİNALARI-ÇATALCA BİNKILIÇ MÜFREZESİ;41.411071000000000;28.184415000000000
KARACAKÖY MÜFREZESİ;İTFAİYE BİNALARI-ÇATALCA KARACAKÖY MÜFREZESİ;41.403455000000000;28.375927000000000
HABİPLER MÜFREZESİ;İTFAİYE BİNALARI-SULTANGAZİ HABİPLER MÜFREZESİ;41.132549000000000;28.832492000000000
GERME MÜFREZESİ;İTFAİYE BİNALARI-ARNAVUTKÖY GERME MÜFREZESİ;41.290217000000000;28.675141000000000
HADIMKÖY MÜFREZESİ;İTFAİYE BİNALARI-ARNAVUTKÖY HADIMKÖY MÜFREZESİ;41.155634000000000;28.613291000000000
RESNELİ İBİTEM;İTFAİYE BİNALARI-BAŞAKŞEHİR İBİTEM ( RESNELİ );41.104020000000000;28.800102000000000
İKİTELLİ MÜFREZESİ;İTFAİYE BİNALARI-BAŞAKŞEHİR İKİTELLİ MÜFREZESİ;41.084593000000000;28.796602000000000
YESILKÖY MÜFREZESİ;İTFAİYE BİNALARI-BAKIRKÖY YESILKÖY MÜFREZESİ;40.963411000000000;28.808166000000000
RESNELI MÜFREZESİ;İTFAİYE BİNALARI-BAŞAKŞEHİR RESNELI MÜFREZESİ;41.083512000000000;28.741014000000000
Acil Yardım ve Cankurtama Müdürlüğü Silivrikapı;İTFAİYE BİNALARI-FATİH ACİL YARDIM VE CAN KURTARMA MÜD.;;
( TADİLATA ALINDI ) İTFAİYE GÜMÜŞYAKA MÜFREZESİ;İTFAİYE BİNALARI-SİLİVRİ GÜMÜŞYAKA MÜFREZESİ;41.048820000000000;28.050901000000000
KADIKÖY GRUP AMİRLİĞİ;İTFAİYE BİNALARI-KADIKÖY GRUP AMİRLİĞİ;40.991617000000000;29.033354000000000
ÜSKÜDAR GRUP AMİRLİĞİ;İTFAİYE BİNALARI-ÜSKÜDAR GRUP AMİRLİĞİ;41.019780000000000;29.011610000000000
KARTAL GRUP AMİRLİĞİ;İTFAİYE BİNALARI-KARTAL GRUP AMİRLİĞİ;40.891729000000000;29.195649000000000
MALTEPE GRUP AMİRLİĞİ;İTFAİYE BİNALARI-MALTEPE GRUP AMİRLİĞİ;40.928903000000000;29.144267000000000
PENDİK GRUP AMİRLİĞİ;İTFAİYE BİNALARI-PENDİK GRUP AMİRLİĞİ;40.886533000000000;29.236802000000000
TUZLA GRUP AMİRLİĞİ;İTFAİYE BİNALARI-TUZLA GRUP AMİRLİĞİ;40.857553000000000;29.293506000000000
YENİDOĞAN GRUP AMİRLİĞİ;İTFAİYE BİNALARI-SANCAKTEPE YENİDOĞAN GRUP AMİRLİĞİ;41.014683000000000;29.245602000000000
SULTANBEYLİ GRUP AMİRLİĞİ;İTFAİYE BİNALARI-SULTANBEYLİ GRUP AMİRLİĞİ;40.969361000000000;29.266764000000000
ÇAVUŞBAŞI GRUP AMİRLİĞİ;İTFAİYE BİNALARI-BEYKOZ ÇAVUŞBAŞI GRUP AMİRLİĞİ;41.096130000000000;29.098115000000000
ÜMRANIYE GRUP AMİRLİĞİ;İTFAİYE BİNALARI-ÜMRANİYE GRUP AMİRLİĞİ;41.016141000000000;29.127919000000000
KAYIŞDAĞI GRUP AMİRLİĞİ;İTFAİYE BİNALARI-ATAŞEHİR KAYIŞDAĞI GRUP AMİRLİĞİ;40.979279000000000;29.146970000000000
BEYKOZ GRUP AMİRLİĞİ;İTFAİYE BİNALARI-BEYKOZ GRUP AMİRLİĞİ;41.134284000000000;29.098393000000000
ŞİLE GRUP AMİRLİĞİ;İTFAİYE BİNALARI-ŞİLE GRUP AMİRLİĞİ;41.176338000000000;29.619682000000000
ADA GRUP AMİRLİĞİ;İTFAİYE BİNALARI-ADALAR GRUP AMİRLİĞİ;40.868459000000000;29.136197000000000
HEYBELİADA MÜFREZESİ;İTFAİYE BİNALARI-ADALAR HEYBELIADA MÜFREZESİ;40.876006000000000;29.099726000000000
BURGAZADA MÜFREZESİ;İTFAİYE BİNALARI-ADALAR BURGAZADA MÜFREZESİ;40.879524000000000;29.070104000000000
ÇENGELKÖY MÜFREZESİ;İTFAİYE BİNALARI-ÜSKÜDAR ÇENGELKÖY MÜFREZESİ;41.044843000000000;29.076450000000000
ZEYNEPKAMİL MÜFREZESİ;İTFAİYE BİNALARI-ÜSKÜDAR ZEYNEPKAMİL MÜFREZESİ;41.013991000000000;29.024403000000000
ERENKÖY MÜFREZESİ;İTFAİYE BİNALARI-KADIKÖY ERENKÖY MÜFREZESİ;40.976466000000000;29.068365000000000
ÜNALAN MÜFREZESİ;İTFAİYE BİNALARI-ÜSKÜDAR ÜNALAN MÜFREZESİ;41.001780000000000;29.072234000000000
KINALIADA MÜFREZESİ;İTFAİYE BİNALARI-ADALAR KINALIADA MÜFREZESİ;40.906857000000000;29.055875000000000
YAKACIK MÜFREZESİ;İTFAİYE BİNALARI-KARTAL YAKACIK MÜFREZESİ;40.943604000000000;29.214737000000000
DUDULLU MÜFREZESİ;İTFAİYE BİNALARI-ÜMRANİYE DUDULLU MÜFREZESİ;41.003897000000000;29.201127000000000
B.BAKKALKÖY MÜFREZESİ;İTFAİYE BİNALARI-MALTEPE B.BAKKALKÖY MÜFREZESİ;40.972170000000000;29.204584000000000
KURTKÖY MÜFREZE;İTFAİYE BİNALARI-PENDİK KURTKÖY;40.908523000000000;29.293652000000000
BOZHANE MÜFREZESİ;İTFAİYE BİNALARI-BEYKOZ BOZHANE MÜFREZESİ;41.161655000000000;29.272869000000000
(TADİLATA ALINDI) ORHANLI MÜFREZESİ;İTFAİYE BİNALARI-TUZLA ORHANLI MÜFREZESİ;40.885917000000000;29.352973000000000
AĞVA MÜFREZESİ;İTFAİYE BİNALARI-ŞİLE AĞVA MÜFREZESİ;41.138650000000000;29.856041000000000
ŞİLE KARACAKÖY MÜFREZESİ;İTFAİYE BİNALARI-ŞİLE KARACAKÖY MÜFREZESİ;41.155771000000000;29.759328000000000
KAVACIK MÜFREZESİ;İTFAİYE BİNALARI-BEYKOZ KAVACIK MÜFREZESİ;41.093229000000000;29.098963000000000
ÖMERLİ MÜFREZESİ;İTFAİYE BİNALARI-ÇEKMEKÖY ÖMERLİ MÜFREZESİ;41.079970000000000;29.333792000000000
OSB MÜFREZESİ;İTFAİYE BİNALARI-TUZLA OSB MÜFREZESİ;40.875279000000000;29.335847000000000
TUZLA YAYLA MÜFREZESİ;İTFAİYE BİNALARI-TUZLA YAYLA MÜFREZESİ;40.815092000000000;29.311691000000000
YENİŞEHİR MÜFREZESİ;İTFAİYE BİNALARI-PENDİK YENİŞEHİR MÜFREZESİ;40.940785000000000;29.305280000000000
SİLİVRİ İTFAİYE;SOSYAL TESİSLER-SİLİVRİ İTFAİYE;;
AVCILAR İTFAİYE;SOSYAL TESİSLER-AVCILAR İTFAİYE;;
FATİH İTFAİYE;SOSYAL TESİSLER-FATİH İTFAİYE;;
TURGUT REİS İTFAİYE;SOSYAL TESİSLER-TURGUT REİS İTFAİYE;;
ŞİŞLİ İTFAİYE;SOSYAL TESİSLER-ŞİŞLİ İTFAİYE;;
KARTAL İTFAİYE;SOSYAL TESİSLER-KARTAL İTFAİYE;;
ÜSKÜDAR İTFAİYE;SOSYAL TESİSLER-ÜSKÜDAR İTFAİYE;;
ÇAKMAK İTFAİYE;SOSYAL TESİSLER-ÇAKMAK İTFAİYE;;
